retrieved_at_vn,flight_date,direction,scheduled_time,estimated_time,route_airport,flight_number,status_raw,source_airport,route_airport_std,status_group,scheduled_dt,estimated_dt,delay_minutes,label_delay,flight_key,icao_code,report_time_utc,report_time_vn,temperature_c,dew_point_c,wind_direction_deg,wind_speed_kt,visibility_miles,cloud_cover,raw_metar,is_wind_variable,weather_age_minutes,scheduled_hour,scheduled_dayofweek,scheduled_month,sin_hour,cos_hour,airline_code,flight_num_only,minutes_to_departure_at_snapshot,is_estimated_missing,visibility_bin,temp_dew_spread,is_low_visibility
2026-04-18 00:10:37,2026-04-18,Departure,19:25,19:25,Hà Nội (HAN),VN188,3-16,DN,HA NOI (HAN),other,2026-04-18 19:25:00,2026-04-18 19:25:00,0.0,0,DN|Departure|HA NOI (HAN)|VN188|2026-04-18 19:25:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,19,5,4,-0.9659258262890684,0.2588190451025203,VN,188,1154.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,11:00,11:00,Hà Nội (HAN),VU638,21-24,DN,HA NOI (HAN),other,2026-04-18 11:00:00,2026-04-18 11:00:00,0.0,0,DN|Departure|HA NOI (HAN)|VU638|2026-04-18 11:00:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,11,5,4,0.258819045102521,-0.9659258262890682,VU,638,649.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:30,09:30,Hải Phòng (HPH),VJ720,27-34,DN,HAI PHONG (HPH),other,2026-04-18 09:30:00,2026-04-18 09:30:00,0.0,0,DN|Departure|HAI PHONG (HPH)|VJ720|2026-04-18 09:30:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,VJ,720,559.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:50,13:50,Hà Nội (HAN),VN170,3-16,DN,HA NOI (HAN),other,2026-04-18 13:50:00,2026-04-18 13:50:00,0.0,0,DN|Departure|HA NOI (HAN)|VN170|2026-04-18 13:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,VN,170,819.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,06:05,06:05,Hà Nội (HAN),VN156,3-16,DN,HA NOI (HAN),other,2026-04-18 06:05:00,2026-04-18 06:05:00,0.0,0,DN|Departure|HA NOI (HAN)|VN156|2026-04-18 06:05:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,6,5,4,1.0,6.123233995736766e-17,VN,156,354.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:15,13:15,Hà Nội (HAN),VJ510,27-34,DN,HA NOI (HAN),other,2026-04-18 13:15:00,2026-04-18 13:15:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ510|2026-04-18 13:15:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,VJ,510,784.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,21:30,21:30,Hà Nội (HAN),VJ526,27-34,DN,HA NOI (HAN),other,2026-04-18 21:30:00,2026-04-18 21:30:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ526|2026-04-18 21:30:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,21,5,4,-0.7071067811865477,0.7071067811865474,VJ,526,1279.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:20,09:20,Hà Nội (HAN),VJ524,27-34,DN,HA NOI (HAN),other,2026-04-18 09:20:00,2026-04-18 09:20:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ524|2026-04-18 09:20:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,VJ,524,549.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,19:50,19:50,Hà Nội (HAN),VJ520,27-34,DN,HA NOI (HAN),other,2026-04-18 19:50:00,2026-04-18 19:50:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ520|2026-04-18 19:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,19,5,4,-0.9659258262890684,0.2588190451025203,VJ,520,1179.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,20:45,20:45,Hà Nội (HAN),VJ518,27-34,DN,HA NOI (HAN),other,2026-04-18 20:45:00,2026-04-18 20:45:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ518|2026-04-18 20:45:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,20,5,4,-0.8660254037844386,0.5000000000000001,VJ,518,1234.3833333333334,0,Medium,3,0.0
