Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:39:16,2026-04-09,Arrival,19:05,19:17,Hà Nội (HAN),VJ517,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,19:50,20:03,TP. Hồ Chí Minh (SGN),VJ642,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,19:50,19:40,Hà Nội (HAN),BL6071,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,20:05,20:10,Hà Nội (HAN),VJ521,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,20:30,20:30,TP. Hồ Chí Minh (SGN),VN142,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,20:55,20:57,Nha Trang (CXR),VN1940,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:00,21:02,TP. Hồ Chí Minh (SGN),VN146,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:00,21:26,Hà Nội (HAN),VJ523,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:05,21:22,TP. Hồ Chí Minh (SGN),9G988,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:20,21:06,TP. Hồ Chí Minh (SGN),VJ648,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:30,21:15,Phú Quốc (PQC),VJ716,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,21:50,21:50,Hà Nội (HAN),VN199,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,22:00,21:43,TP. Hồ Chí Minh (SGN),VJ646,Đã đến
2026-04-09 23:39:16,2026-04-09,Arrival,22:15,22:12,TP. Hồ Chí Minh (SGN),VN148,Đã đến
2026-04-09 23:39:16,2026-04-09,Departure,05:35,05:35,TP. Hồ Chí Minh (SGN),VJ621,27-34
2026-04-09 23:39:16,2026-04-09,Departure,05:45,05:45,TP. Hồ Chí Minh (SGN),VN101,3-16
2026-04-09 23:39:16,2026-04-09,Departure,06:00,06:00,Buôn Mê Thuột (BMV),VN1911,3-16
2026-04-09 23:39:16,2026-04-09,Departure,06:05,06:05,Hà Nội (HAN),VN156,3-16
2026-04-09 23:39:16,2026-04-09,Departure,07:10,07:10,TP. Hồ Chí Minh (SGN),VJ625,27-34
2026-04-09 23:39:16,2026-04-09,Departure,07:15,07:15,Phú Quốc (PQC),VJ719,27-34
2026-04-09 23:39:16,2026-04-09,Departure,07:40,07:40,TP. Hồ Chí Minh (SGN),VN107,3-16
2026-04-09 23:39:16,2026-04-09,Departure,07:45,07:45,TP. Hồ Chí Minh (SGN),QH153,43-45
2026-04-09 23:39:16,2026-04-09,Departure,07:50,07:50,Hà Nội (HAN),VN158,3-16
2026-04-09 23:39:16,2026-04-09,Departure,07:55,07:55,Hà Nội (HAN),QH104,43-45
2026-04-09 23:39:16,2026-04-09,Departure,08:40,09:00,TP. Hồ Chí Minh (SGN),VN109,3-16
2026-04-09 23:39:16,2026-04-09,Departure,08:50,08:50,Hà Nội (HAN),VN160,3-16
2026-04-09 23:39:16,2026-04-09,Departure,08:55,09:10,TP. Hồ Chí Minh (SGN),VJ627,27-34
2026-04-09 23:39:16,2026-04-09,Departure,09:00,09:20,TP. Hồ Chí Minh (SGN),9G961,35-39
2026-04-09 23:39:16,2026-04-09,Departure,09:20,10:00,Hà Nội (HAN),VJ524,27-34
2026-04-09 23:39:16,2026-04-09,Departure,09:30,09:30,Hải Phòng (HPH),VJ720,27-34
2026-04-09 23:39:16,2026-04-09,Departure,09:35,09:35,Hải Phòng (HPH),VN1670,3-16
2026-04-09 23:39:16,2026-04-09,Departure,09:45,09:45,Hà Nội (HAN),VN164,3-16
2026-04-09 23:39:16,2026-04-09,Departure,09:55,10:05,TP. Hồ Chí Minh (SGN),VN113,3-16
2026-04-09 23:39:16,2026-04-09,Departure,10:20,10:20,Hà Nội (HAN),BL6080,17-20
2026-04-09 23:39:16,2026-04-09,Departure,10:50,11:40,TP. Hồ Chí Minh (SGN),VJ629,27-34
2026-04-09 23:39:16,2026-04-09,Departure,11:00,11:00,Hà Nội (HAN),VU638,21-24
2026-04-09 23:39:16,2026-04-09,Departure,11:00,11:00,TP. Hồ Chí Minh (SGN),VN119,3-16
2026-04-09 23:39:16,2026-04-09,Departure,11:35,11:35,Hà Nội (HAN),VN166,3-16
